protocol_role,sequence_id,run_instance_id,frame_index,simulation_time_s,image_relpath,label_relpath,image_exists,label_exists,obb_valid,truth_valid,truth_audit_passed,gt_cx_px,gt_cy_px,gt_raw_w_px,gt_raw_h_px,gt_raw_gamma_deg,gt_l_diag_raw_px,gt_plumb_w_px,gt_plumb_h_px,gt_plumb_gamma_deg,gt_l_diag_plumb_px,gt_pixel_corners_json,projected_ar_warning,grab_x_camera_cv_m,grab_y_camera_cv_m,z_cg_opt_gt_m,z_cg_plumb_gt_m,x_pg_gt_m,y_pg_gt_m,h_pg_vertical_gt_m,l_pg_euclidean_gt_m,theta_x_gt_deg,theta_y_gt_deg,theta_total_gt_deg,theta_total_bin,psi_yaw_relative_deg,camera_world_x_m,camera_world_y_m,camera_world_z_m,raw_to_plumb_homography_json,camera_r_wc_00,camera_r_wc_01,camera_r_wc_02,camera_r_wc_10,camera_r_wc_11,camera_r_wc_12,camera_r_wc_20,camera_r_wc_21,camera_r_wc_22
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,0,60.6,calibration_train_03_tilt_obb/images/frame_00000.jpg,calibration_train_03_tilt_obb/labels/frame_00000.txt,1,1,1,1,1,498.0664367675781,555.0064086914062,103.18722534179688,35.4155158996582,-0.9160385131835938,109.0956563763091,103.07304382324219,35.33576202392578,-0.9209747314453125,108.96177513605181,"[[446.3045475359284,538.1240309557636],[549.3704088079143,536.4760487704651],[446.762558732964,573.5367321973362],[549.4324923248637,571.8421835378497]]",0,-0.24146721646037667,0.7415872582698402,16.1714822371025,16.188406012294493,-0.1934162014650558,-0.42688143876555423,16.073313299146598,16.08014421584193,-0.6894283075260522,-1.5213264484764866,1.670119437062559,0_to_3,0.0,40.71658608342457,-8.204594821791142,46.50740591384275,"[[1.0293153408820834,0.03127937978581971,-13.074478461439524],[-0.0016838069020592603,1.0605390774202441,-68.43768129053161],[-3.2886853555845335e-06,6.0760043204336485e-05,1.0]]",0.053455746630515825,0.2044516372484629,0.9774159867623391,-0.014214359749676447,0.97887210140232,-0.20397882506062562,-0.9984690456539356,-0.002989502070493751,0.055232488159503004
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,1,60.696,calibration_train_03_tilt_obb/images/frame_00001.jpg,calibration_train_03_tilt_obb/labels/frame_00001.txt,1,1,1,1,1,499.0219421386719,555.8016357421875,103.22174835205078,35.42750549316406,-0.9358901977539062,109.13220183943082,103.10260772705078,35.344581604003906,-0.9405975341796875,108.99260144101618,"[[447.23804089795226,538.9314567452352],[550.3366092939351,537.2472712536231],[447.70730838799034,574.3559934864641],[550.4130822014321,572.6291912478881]]",0,-0.22493622239266045,0.7550547492037257,16.165764958873993,16.18337225184761,-0.177429875704135,-0.41470855504097826,16.068252402963477,16.074582415470644,-0.6326493776592869,-1.4784293640640884,1.6079936050513355,0_to_3,0.0,40.7183577023727,-8.191533693067676,46.51150475727664,"[[1.0294161043856938,0.03133595087878508,-13.14742088805577],[-0.001665374700497564,1.0606736760193498,-68.5765575689169],[-3.2526849619092888e-06,6.0873585139753794e-05,1.0]]",0.05356386231223155,0.2041291584631101,0.9774774674228246,-0.01418468135326879,0.9789395004446093,-0.20365718569244007,-0.9984636735851248,-0.0029565409520665043,0.05533128768152993
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,2,60.792,calibration_train_03_tilt_obb/images/frame_00002.jpg,calibration_train_03_tilt_obb/labels/frame_00002.txt,1,1,1,1,1,498.847412109375,556.62744140625,103.21341705322266,35.426177978515625,-0.95709228515625,109.1238908120854,103.08708953857422,35.339900970458984,-0.9616317749023438,108.97640400626122,"[[447.06378425450094,539.7770018078667],[550.1510833452772,538.0548117677342],[447.54378862599276,575.200090169983],[550.2417057130359,573.4345266168049]]",0,-0.2279418698832077,0.769359578558447,16.167217723562175,16.185608567117367,-0.18035483778233158,-0.4024542017305074,16.070455487544844,16.076505740650305,-0.6429896913426882,-1.4345647210655055,1.5719625419296697,0_to_3,0.0,40.71380518757539,-8.200690179376366,46.51655132939777,"[[1.0294881485745673,0.031407043865477026,-13.181389014001656],[-0.0016680960016029246,1.060811864596028,-68.73209884259406],[-3.2580000031307278e-06,6.101117841959702e-05,1.0]]",0.05367762959467225,0.20439022552471436,0.9774166705101022,-0.014228199160521536,0.9788850122753322,-0.20391589219913997,-0.9984569447050512,-0.0029611573208990676,0.05545233193992104
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,3,60.888,calibration_train_03_tilt_obb/images/frame_00003.jpg,calibration_train_03_tilt_obb/labels/frame_00003.txt,1,1,1,1,1,499.0556640625,557.4776611328125,103.20960998535156,35.42593765258789,-0.983978271484375,109.12021193112405,103.07667541503906,35.336429595947266,-0.9881744384765625,108.96542695372077,"[[447.2681728814301,540.6515530830552],[550.3487062405159,538.8810835252787],[447.76267496449634,576.0742401556003],[550.4574654829141,574.2613424324518]]",0,-0.22435264810944144,0.7840538102360362,16.16781998418251,16.18697834955937,-0.17858460573049434,-0.3900046851058776,16.071787902046612,16.077511078652076,-0.6366263149259674,-1.3900903864799081,1.5288317002976028,0_to_3,0.0,40.70881790857833,-8.204878516066776,46.52214488595777,"[[1.029704745537501,0.031482225294009555,-13.365653370822482],[-0.00160443610749074,1.0610376736628535,-68.94547714838862],[-3.133664272442776e-06,6.116985789052907e-05,1.0]]",0.05383362562817936,0.20440854502165892,0.9774042600039421,-0.014146111240077473,0.9788815235582694,-0.20393834944174863,-0.9984497124485081,-0.00284772863346549,0.05558832748987648
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,4,60.984,calibration_train_03_tilt_obb/images/frame_00004.jpg,calibration_train_03_tilt_obb/labels/frame_00004.txt,1,1,1,1,1,498.744140625,558.5020751953125,103.20259094238281,35.42552947998047,-1.0269012451171875,109.11344058436504,103.0602798461914,35.33192443847656,-1.0306777954101562,108.94845646681509,"[[446.9505738753242,541.7147677396443],[550.0196442889539,539.8673156111421],[447.4685422688947,577.1367219357884],[550.1559769330157,575.2456577440021]]",0,-0.22971229226895706,0.8017801364600643,16.169173589557282,16.189308645367998,-0.18572541781444446,-0.3725980793751325,16.074114460573018,16.079504934890846,-0.6619841552114413,-1.3278787529443696,1.4836344792382756,0_to_3,0.0,40.70554268301275,-8.220890117256848,46.5227879147764,"[[1.0298405661966266,0.03148572035211814,-13.507078639213844],[-0.001541880732735765,1.0611195540708913,-68.99920489824876],[-3.01148580612455e-06,6.118904201488755e-05,1.0]]",0.0538654929361293,0.20468956420116338,0.9773436913276136,-0.014055619880680228,0.978823116731384,-0.2042247431190191,-0.9984492717311771,-0.0027365049602214564,0.05560182838796806
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,5,61.08,calibration_train_03_tilt_obb/images/frame_00005.jpg,calibration_train_03_tilt_obb/labels/frame_00005.txt,1,1,1,1,1,499.0953063964844,559.625,103.24085998535156,35.44029998779297,-1.0457611083984375,109.15443203892238,103.08888244628906,35.34142303466797,-1.0684585571289062,108.97859361425144,"[[447.27951117493205,542.8477787186713],[550.3836494450859,540.9656933813505],[447.8068096274046,578.2843458910229],[550.5338137818258,576.3599036346302]]",0,-0.22356679316734998,0.8208463618717542,16.163132979014218,16.18435732946087,-0.17655376006642715,-0.35261316618934857,16.069173651139582,16.074011605869963,-0.6294896371432058,-1.257065538986899,1.405779756246942,0_to_3,0.0,40.70735785895834,-8.219246621960204,46.521071424392346,"[[1.0295999174960964,0.031470918356719085,-13.261603546238444],[-0.001648252309123214,1.060962706276415,-68.88822053384035],[-3.2192427912562486e-06,6.1139210806136e-05,1.0]]",0.05378759402524772,0.20482664513129392,0.9773192621519512,-0.01424025127351562,0.9787938934701124,-0.20435197417516096,-0.9984508550613007,-0.0029256708422992403,0.055563751470542815
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,6,61.176,calibration_train_03_tilt_obb/images/frame_00006.jpg,calibration_train_03_tilt_obb/labels/frame_00006.txt,1,1,1,1,1,499.3817138671875,560.8082275390625,103.2329330444336,35.43928909301758,-1.0795669555664062,109.14660634382997,103.07087707519531,35.33549118041992,-1.083038330078125,108.9596376554711,"[[447.56282012035683,544.0619513613699],[550.6550887513404,542.1192567018693],[448.1081871803264,579.4972689668342],[550.828214160444,577.5134274172475]]",0,-0.21863695235491135,0.8413150876213572,16.1643743245069,16.186722490039887,-0.1718097374600402,-0.33087483581671495,16.071562177862074,16.07588590341912,-0.6124854419789191,-1.1794157720668945,1.3288897968737372,0_to_3,0.0,40.70882384011627,-8.2234442029337,46.5176442157558,"[[1.029559234319298,0.03142056844044735,-13.248482026116655],[-0.0016414170212421023,1.0608707074525554,-68.78166076939809],[-3.205892619613457e-06,6.10427285205423e-05,1.0]]",0.0537058171887418,0.20488897005636617,0.977310695300799,-0.014214521809890086,0.9787808848061826,-0.20441606323315845,-0.9984556237358803,-0.002913672470949775,0.05547862600070792
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,7,61.272,calibration_train_03_tilt_obb/images/frame_00007.jpg,calibration_train_03_tilt_obb/labels/frame_00007.txt,1,1,1,1,1,499.7047119140625,561.9444580078125,103.22842407226562,35.43947219848633,-1.1102371215820312,109.1424011379207,103.05668640136719,35.3306999206543,-1.1255340576171875,108.94466012115079,"[[447.88188741012857,545.2256932380354],[550.9658603609108,543.2279725923659],[448.4435226065978,580.6609280406535],[551.160120333199,578.6233070389649]]",0,-0.21306783504923107,0.8609459805868153,16.165060761281172,16.188493795450647,-0.16504391806403174,-0.3109621595316703,16.073339479200513,16.07719437505115,-0.5883026130771792,-1.1083320297734218,1.254721967480099,0_to_3,0.0,40.707239714321446,-8.225380203573565,46.516575316736414,"[[1.0294605843656062,0.03141075468984148,-13.150061395627695],[-0.0016830860110788948,1.0608013066908266,-68.72931551859749],[-3.2872773653884754e-06,6.101542701200677e-05,1.0]]",0.05366786800815976,0.20499141778155908,0.9772912966865945,-0.014288135665849203,0.9787592102590752,-0.20451468776649248,-0.9984566135404449,-0.0029878033633296253,0.05545686529555242
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,8,61.368,calibration_train_03_tilt_obb/images/frame_00008.jpg,calibration_train_03_tilt_obb/labels/frame_00008.txt,1,1,1,1,1,500.5859069824219,563.2587280273438,103.22117614746094,35.4384880065918,-1.1445388793945312,109.1352263820372,103.03934478759766,35.32410430908203,-1.152679443359375,108.92611679251371,"[[448.75898067743793,546.5713719747068],[551.8322144412822,544.5120580270519],[449.3394965305398,582.0053352643773],[552.0508383793892,579.9097112031645]]",0,-0.197900502441117,0.88366977342182,16.16593232643863,16.19059300444059,-0.14853317231073115,-0.28619800570699205,16.07547493152421,16.078708457951794,-0.5293829113284712,-1.0199515554002625,1.1490992359641992,0_to_3,0.0,40.71231150275834,-8.217548777039926,46.51112858052693,"[[1.0292812611059268,0.031336754194447036,-13.004438581608413],[-0.0017297150335825358,1.0605983038342774,-68.53113324477293],[-3.3783496749658834e-06,6.086246544022999e-05,1.0]]",0.0535240801917147,0.20483120722202122,0.9773327731062743,-0.014333638001546162,0.9787924936731148,-0.20435214985609146,-0.9984636796905892,-0.0030709733205058396,0.05532494429814833
calibration_train,calibration_train_03_tilt_obb,31166ebea2aa4c90bea5681c9110a884,9,61.464,calibration_train_03_tilt_obb/images/frame_00009.jpg,calibration_train_03_tilt_obb/labels/frame_00009.txt,1,1,1,1,1,501.7808532714844,564.66162109375,103.2552490234375,35.451568603515625,-1.1802749633789062,109.17170039594448,103.0647201538086,35.33113098144531,-1.1829452514648438,108.95239950001525,"[[449.9285314937651,548.0003700789745],[553.032392736172,545.876133763266],[450.529301621826,583.4470842737106],[553.2770022509612,581.2914100947597]]",0,-0.17726091143075845,0.9075610765383904,16.16022217177812,16.186158496834324,-0.12639732242331148,-0.2581040557020719,16.071107384378358,16.07367682102966,-0.45061510865953547,-0.9200985019089623,1.0244830018877427,0_to_3,0.0,40.72136844495027,-8.204317041345698,46.50089474885105,"[[1.0290183327131825,0.03119765413543641,-12.808993934232584],[-0.0017822591235869157,1.060258808119161,-68.18446457757284],[-3.4809748507556616e-06,6.058194576860486e-05,1.0]]",0.0532707524454425,0.2045257999303372,0.9774105708947249,-0.014358933261074833,0.9788560571054847,-0.20404568239369356,-0.998476864013133,-0.0031649061217905953,0.055081171009155855
